 Annual average temperature (deg C) relative to IPCC-defined pre-industrial level,,,,,,
 -9999.000 denotes no data,,,,,,
"Datasets processed largely as described in Simmons et al. (2017) (doi: 10.1002/qj.2949). For furhter details see ""Notes to editor"" accompanying C3S January 2021 PR",,,,,,
ERA5 is subject to the Licence to Use Copernicus Products (v 1.2). Please refer to the respective data provider for the remaining licenses. ,,,,,,
,,,,,,
 Year,ERA5,JRA-55,Berkeley Earth,GISTEMP,HadCRUT5,NOAAGlobalTemp
1970,0.25,0.264,0.271,0.232,0.193,0.245
1971,0.096,0.14,0.145,0.127,0.074,0.122
1972,0.224,0.251,0.237,0.218,0.184,0.225
1973,0.322,0.347,0.362,0.367,0.328,0.38
1974,0.071,0.081,0.136,0.141,0.107,0.127
1975,0.101,0.14,0.196,0.194,0.168,0.201
1976,0.027,0.032,0.09,0.111,0.062,0.12
1977,0.307,0.309,0.395,0.386,0.382,0.399
1978,0.242,0.247,0.268,0.277,0.283,0.304
1979,0.396,0.366,0.356,0.375,0.372,0.416
1980,0.525,0.489,0.476,0.464,0.475,0.467
1981,0.558,0.528,0.518,0.531,0.529,0.51
1982,0.359,0.342,0.308,0.347,0.313,0.38
1983,0.553,0.524,0.498,0.52,0.502,0.546
1984,0.342,0.337,0.332,0.366,0.328,0.355
1985,0.302,0.307,0.321,0.329,0.33,0.345
1986,0.389,0.403,0.373,0.388,0.374,0.423
1987,0.545,0.543,0.51,0.527,0.522,0.57
1988,0.578,0.57,0.551,0.596,0.562,0.581
1989,0.459,0.461,0.434,0.481,0.459,0.481
1990,0.691,0.65,0.628,0.658,0.641,0.637
1991,0.635,0.604,0.607,0.613,0.618,0.577
1992,0.403,0.412,0.424,0.428,0.403,0.424
1993,0.449,0.448,0.455,0.44,0.445,0.47
1994,0.487,0.52,0.512,0.524,0.515,0.534
1995,0.661,0.69,0.655,0.651,0.655,0.655
1996,0.533,0.56,0.559,0.533,0.555,0.51
1997,0.656,0.675,0.695,0.671,0.703,0.702
1998,0.843,0.869,0.85,0.815,0.856,0.837
1999,0.574,0.622,0.615,0.59,0.603,0.625
2000,0.572,0.623,0.627,0.6,0.61,0.611
2001,0.738,0.756,0.767,0.744,0.77,0.758
2002,0.829,0.859,0.854,0.832,0.823,0.808
2003,0.815,0.814,0.834,0.827,0.826,0.829
2004,0.751,0.722,0.74,0.742,0.747,0.77
2005,0.917,0.901,0.92,0.885,0.888,0.857
2006,0.865,0.852,0.869,0.844,0.852,0.824
2007,0.859,0.846,0.876,0.872,0.872,0.807
2008,0.728,0.704,0.744,0.75,0.746,0.732
2009,0.858,0.842,0.877,0.868,0.877,0.832
2010,0.952,0.919,0.946,0.929,0.96,0.912
2011,0.812,0.804,0.828,0.815,0.818,0.765
2012,0.863,0.845,0.834,0.851,0.858,0.826
2013,0.89,0.884,0.864,0.887,0.904,0.863
2014,0.931,0.926,0.929,0.957,0.955,0.932
2015,1.079,1.058,1.068,1.106,1.106,1.118
2016,1.261,1.241,1.202,1.224,1.212,1.183
2017,1.166,1.106,1.089,1.131,1.125,1.097
2018,1.087,1.023,1.022,1.059,1.043,1.015
2019,1.222,1.18,1.154,1.189,-9999,1.137
2020,1.253,-9999,-9999,-9999,-9999,-9999
