index,Rank,City,2026 Population,Annual Change
0,1,Karachi,"21,243,390",4.03%
1,2,Lahore,"14,062,745",2.64%
2,3,Faisalabad,"3,959,398",2.36%
3,4,Rawalpindi,"3,900,989",5.13%
4,5,Gujranwala,"2,793,969",3.62%
5,6,Multan,"2,409,602",2.84%
6,7,Hyderabad,"2,022,586",1.73%
7,8,Peshawar,"1,874,831",-0.55%
8,9,Quetta,"1,818,905",5.13%
9,10,Islamabad,"1,162,454",1.59%
10,11,Sargodha,"1,133,818",5.13%
11,12,Sialkot,"1,059,380",5.13%
12,13,Bahawalpur,"983,800",2.87%
13,14,Jhang,"704,691",5.13%
14,15,Gujrat,"667,172",5.13%
15,16,Sheikhupura,"661,141",3.78%
16,17,Sahiwal,"625,466",5.13%
17,18,Okara,"620,063",5.13%
18,19,Sukkur,"598,532",2.01%
19,20,Kasur,"593,552",5.13%
20,21,Larkana,"586,625",2.07%
21,22,Rahimyar Khan,"576,709",3.56%
22,23,Dera Ghazi Khan,"551,580",3.71%
23,24,Burewala,"420,194",5.13%
24,25,Nawabshah,"414,040",4.47%
25,26,Wah Cantonment,"411,772",0.91%
26,27,Mingora,"376,966",1.44%
27,28,Mardan,"373,031",0.43%
28,29,Jhelum,"362,987",5.13%
29,30,Hafizabad,"362,797",4.42%
30,31,Chiniot,"340,051",2.24%
31,32,Kamoke,"316,365",2.70%
32,33,Turbat,"301,082",3.88%
33,34,Khanewal,"299,380",2.03%
34,35,Muridke,"295,444",5.13%
35,36,Sadiqabad,"294,138",2.37%
36,37,Mirpur Khas,"286,460",2.27%
37,38,Khanpur,"286,183",5.01%
38,39,Bahawalnagar,"281,016",5.13%
39,40,Daska,"261,008",4.51%
40,41,Chakwal,"253,693",5.13%
41,42,Mandi Bahauddin,"251,309",2.65%
42,43,Muzaffargarh,"249,512",1.94%
43,44,Abbottabad,"248,830",2.01%
44,45,Pakpattan,"247,635",3.82%
45,46,Vehari,"244,320",5.13%
46,47,Kohat,"239,630",0.53%
47,48,Khuzdar,"238,481",3.02%
48,49,Gojra,"237,341",3.45%
49,50,Jacobabad,"234,949",2.32%
50,51,Ahmadpur East,"228,438",5.13%
51,52,Dera Ismail Khan,"221,865",0.19%
52,53,Chishtian,"218,327",4.30%
53,54,Shikarpur,"209,474",0.73%
54,55,Hub,"205,240",1.61%
55,56,Samundri,"203,097",2.91%
56,57,Firozwala,"198,585",3.86%
57,58,Dadu,"197,438",1.59%
58,59,Hasilpur,"195,358",5.13%
59,60,Khairpur,"195,134",0.71%
60,61,Attock,"193,616",3.12%
61,62,Tando Adam,"186,619",2.30%
62,63,Kamalia,"184,642",3.48%
63,64,Panjgur,"183,213",5.13%
64,65,Arifwala,"182,481",5.13%
65,66,Jaranwala,"181,950",2.12%
66,67,Jampur,"180,367",5.13%
67,68,Jatoi,"180,312",5.13%
68,69,Swabi,"176,235",4.04%
69,70,Bolhari,"175,603",1.16%
70,71,Shujabad,"175,571",5.13%
71,72,Tando Allahyar,"175,524",0.84%
72,73,Harunabad,"173,902",5.13%
73,74,Kot Abdul Malik,"172,415",2.09%
74,75,Jalalpur Jattan,"170,491",5.13%
75,76,Gujranwala Cantonment,"168,005",2.30%
76,77,Wazirabad,"166,597",2.96%
77,78,Moro,"165,776",5.13%
78,79,Layyah,"165,717",3.09%
79,80,Mian Channu,"162,787",5.13%
80,81,Lodhran,"160,086",3.47%
81,82,Rajanpur,"159,814",5.13%
82,83,Khushab,"151,426",2.67%
83,84,Umerkot,"150,035",1.25%
84,85,Kot Addu,"148,742",1.52%
85,86,Shakargarh,"147,253",5.13%
86,87,Narowal,"147,124",4.03%
87,88,Mailsi,"145,730",5.13%
88,89,Taxila,"145,011",1.94%
89,90,Alipur,"143,175",5.13%
90,91,Toba Tek Singh,"143,024",5.13%
91,92,Mansehra,"142,364",1.22%
92,93,Bhakkar,"142,234",2.61%
93,94,Haveli Lakha,"142,196",5.13%
94,95,Kabal,"140,499",1.96%
95,96,Lala Musa,"139,157",4.76%
96,97,Dipalpur,"136,181",3.52%
97,98,Mianwali,"135,169",1.44%
98,99,Chaman,"133,750",0.92%
99,100,Pattoki,"129,479",4.42%
100,101,Bhalwal,"128,304",2.83%
101,102,Faruqabad,"127,473",5.13%
102,103,Barikot,"127,260",3.42%
103,104,Phulnagar,"127,206",3.56%
104,105,Taunsa,"126,242",2.95%
105,106,Jauharabad,"125,988",3.64%
106,107,Pishin,"125,067",5.13%
107,108,Sambrial,"124,984",1.49%
108,109,Ghotki,"124,359",1.23%
109,110,Nowshera,"124,314",0.37%
110,111,Charsadda,"123,078",0.80%
111,112,Chichawatni,"122,092",2.86%
112,113,Shahdadkot,"121,573",0.24%
113,114,Tando Muhammad Khan,"121,242",1.95%
114,115,Shahdadpur,"120,868",2.17%
115,116,Sangla Hill,"120,493",5.13%
116,117,Badin,"120,071",0.74%
117,118,Kot Radha Kishan,"118,573",5.13%
118,119,Kambar Ali Khan,"118,454",1.79%
119,120,Renala Khurd,"116,246",5.13%
120,121,Pasrur,"114,643",3.73%
121,122,Dera Murad Jamali,"112,703",1.76%
122,123,Kharian,"111,766",2.75%
123,124,Gujar Khan,"110,553",2.29%
124,125,Kotri,"109,471",0.88%
125,126,Shabqadar,"108,238",1.89%
126,127,Ludhewala Waraich,"104,764",1.45%
